author,comment
m*****8,"Alhamdulillah paketnya sudah sampai, bajunya bagus 
Terima kasih erigo"
vrillia,"Sebenernya ini kaosnya bagus banget,, cuma bagian lehernya kurang longgar lagi dikit 🥲"
anila3112,Terima kasih vajunya sudah sampai dengan selamat tapi sizenya agak berbeda ya sma merek sebelah lebih kecil.ini untung muat dan bagus terima kasih
rinieci,"Cantik banget....warna,gambarnya...top
Semua saya suka...buat adek nech....
Tapi saya pake biar dapat koin extra 🤭
Keseluruhannya bagus,dapat pas flash sale 
Terima kasih seller,terima kasih bpak kurir"
cmustikasri,"Makasih kak barangny sudah mendarat dng aman,, bagus, alus pisan dan harganya a forable..Sekedar masukan y kak,sayangnya sama² ukuran Xl tp koq beda y kak untungny msh bs muat jd g perlu retur, smg bsk lbh teliti dan di perbaiki lg kualitasnya..terimakasih stikernya y matur nuwun..hatur nuhun🙏💕"
kikidaffa,"Pengiriman lumayan cepat, bahan bagus, enak dipakai, sablonan bagus"
h*****a,"Pengiriman cepat... 
Sudah tidak di ragukan lagi kualitas nya.. 
Recommended.. 
Makasih seller..."
pegiantarikadek,"Erigo T-Shirtnya sudah sampai. Asli kainnya bagus dan adem.
Makasih ya 🙏🏻
Makasih juga shopee 👍"
karya_jayaa,"Murah banget dapet harga 35 rb aja,free ongkir pake voucher live streaming 👍👍👍🙏🙏 terimakasih shopee, terima kasih erigo🥰🥰
Soal bahan dah lah semua orang jg dh Pd tau..."
e*****5,"Ini pesanan aku yg ke 3, kecewa banget krn ukurannya kecil, beda sm 2 item yg aku beli kemarin. Yg ini ketat di badan suami aku, pdhal yg kmarin S nya besar, apa krn flash sale ya jd di kirim yg reject ukuran. Kecewa banget."
a*****a,"Mksh y kak 
Maaf baru d beri ulasan 
Is the best deh sm bahan nya kgk nyesel 
Murah lg 
Good bngt...😍😍😍"
centiacutcut,Kerenn udahh yang keberapa ya beli disinii duhh cakep bangett
gitaluthfiaa28,"Barangnya udah sampe dengan selamat, bagus bahannya adem, ukuran sesuai pesanan,dapet harga promo lagi + cashback 🥺🥰😍"
antopako,"Baru pertama kali beliiii
Wahhh bagus ya kainnya.
Next order lagi nunggu promo meski harus jam 12 dulu hehehhee
Admin juga ramah"
m*****s,"Bajunya sangat bagus, produk erigo emang ga diragukan lagi😍😍"
a*****7,Mantappp ga pernah nyesel sm produk erigo😍😍😍🥰😍🥰😍🥰🥰🥰🥰🥰🥰🥰🥰🥰😍🥰😍🥰😍😍🥰🥰🥰🥰😍🥰😍🥰🥰🥰😍🥰😍🥰😍🥰😍🥰🥰🥰😍😍🥰😘🥰😍🥰🥰🥰😍🥰😍🥰😍🥰😍🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰😍😍😍😍😍😍😍😍😍😍😍
e*****3,"Barang sesuai pesanan, kain nya bagus, lsng di cuci hehehe, the best erigo"
semillhsn,"Ini sih cakep, erigo kualitas terbaik mana harganya lagi diskon gede-gedean, cakep bangett murah sering-sering diskon ya erigo"
a*****6,"Barang sudah sampai sesuai pesanan dan bahannya bagus, semoga awet
Sukses selalu 👍"
f*****_,Pokoknya produk erigo tdk mengecewakan👍👍👍👍
r*****m,"Sesuai,memuaskan,mantappp,cepat sampai,nyaman dipakai"
y*****p,"Mantull banget barang ny, pengiriman cepat, admin ramah🙏🏻🙏🏻"
viniwahyuni,Alhamdulillah bajunya bagus gak kecewa sesuai ekspetasi makasih
mufrinaphina,"Terima kasih paket nya sudah sampai dengan aman...
Suka sekali 😍😍"
nafan_store,"Bagus kok walau nggak seheboh yang aku kira kainnya biasa aja, ukurannya jg kecil dari biasanya, tapi yang istimewa adalah sablonnya bagus banget."
s*****1,"Produknya bagus banget
Pengemasan dan pengirimannya cepat
Packing aman
Makasih kak^^"
elisabethromauli03,"Respon yg sangat bagus, sukaa bgt sama produknya ga mengecewakan, diproses cepat jugaa karna requestnya emang gitu hihi, thankyouu erigoo❤️❤️❤️"
yuliagus31,"Alhamdulillah pesanan sudah mendarat..
Pengiriman cepat..bahan halus tp sayangnya aku salah milih size agak kekecilan deh."
s*****a,"Erigo bhannyq adem bgt
Tpi syang tlalu tpis kta misua
Mksh seler"
y2107vj6pl,"Alhamdulillah barang sampai dengan aman, pengemasan nya cepat dan rapih ❤️
Benar² Ori 👍"
fnbiila,"Bagus, gk ada cacat sedikitpun. Baru bisa review skrg soalnya pas baru dtg lgsg masuk ember cucian hehe"
_khamidah.12,"Bagusss... Di pake pas... Nyaman 
Mantap ..gk mengecewakan kerennn"
akukarmila,"Real pic, bahan adem, model sesuai order an, pedagang ramah, fast respon, barang cepet sampe, keren lah pokoke,puas blanja disini, selalu amanah y🙏"
dewisatrina0107,"Barangnya bagus, tapi sayang pengirimannya lambat...🙂"
n*****n,"Udah 3x beli baju di erigo. Produknya bagus bagus ORI, mantap dehh pokoknya👍👍"
wulanrifandina,barangnya bagus banget. ini nih yg emang pantes go internasional 🖤
